County,FIPS Code,2017 ACS Population - High School Diploma or More as a percent of 2017 ACS Population - Population 25 and Over,Rank,,,,
"Kleberg County, TX",48273,77.90%,2795,,,,
"Stanton County, KS",20187,77.90%,2795,,,,
"Costilla County, CO",8023,77.80%,2803,,,,
"Panola County, MS",28107,77.80%,2803,,,,
"Jackson County, TN",47087,77.80%,2803,,,,
"Butler County, KY",21031,77.80%,2803,,,,
"Stanislaus County, CA",6099,77.80%,2803,,,,
"Martin County, TX",48317,77.70%,2808,,,,
"Todd County, KY",21219,77.70%,2808,,,,
"Itawamba County, MS",28057,77.70%,2808,,,,
"Lee County, SC",45061,77.70%,2808,,,,
"Grady County, GA",13131,77.70%,2808,,,,
"Guadalupe County, NM",35019,77.70%,2808,,,,
"Rockcastle County, KY",21203,77.70%,2808,,,,
"Monroe County, AR",5095,77.70%,2808,,,,
"Acadia Parish, LA",22001,77.60%,2816,,,,
"Baker County, GA",13007,77.60%,2816,,,,
"Tippah County, MS",28139,77.60%,2816,,,,
"Glascock County, GA",13125,77.60%,2816,,,,
"Jones County, TX",48253,77.60%,2816,,,,
"Fentress County, TN",47049,77.60%,2816,,,,
"Caswell County, NC",37033,77.60%,2816,,,,
"Hickman County, KY",21105,77.50%,2823,,,,
"Foard County, TX",48155,77.50%,2823,,,,
"Iberville Parish, LA",22047,77.50%,2823,,,,
"Matagorda County, TX",48321,77.50%,2823,,,,
"Hardeman County, TX",48197,77.50%,2823,,,,
"Collingsworth County, TX",48087,77.40%,2828,,,,
"Calhoun County, FL",12013,77.40%,2828,,,,
"Jackson County, AR",5067,77.40%,2828,,,,
"Catahoula Parish, LA",22025,77.40%,2828,,,,
"Washington County, NC",37187,77.40%,2828,,,,
"Fleming County, KY",21069,77.40%,2828,,,,
"Minidoka County, ID",16067,77.40%,2828,,,,
"Desha County, AR",5041,77.40%,2828,,,,
"Attala County, MS",28007,77.40%,2828,,,,
"Morgan County, MO",29141,77.40%,2828,,,,
"Franklin County, GA",13119,77.30%,2838,,,,
"Hockley County, TX",48219,77.30%,2838,,,,
"Rhea County, TN",47143,77.30%,2838,,,,
"Butts County, GA",13035,77.30%,2838,,,,
"Sampson County, NC",37163,77.30%,2838,,,,
"Stephens County, TX",48429,77.20%,2843,,,,
"Union County, TN",47173,77.20%,2843,,,,
"Navarro County, TX",48349,77.20%,2843,,,,
"La Paz County, AZ",4012,77.20%,2843,,,,
"Winston County, AL",1133,77.20%,2843,,,,
"Charlton County, GA",13049,77.20%,2843,,,,
"Kent County, TX",48263,77.20%,2843,,,,
"Metcalfe County, KY",21169,77.20%,2843,,,,
"Meriwether County, GA",13199,77.20%,2843,,,,
"Webster County, WV",54101,77.20%,2843,,,,
"Houston County, TN",47083,77.20%,2843,,,,
"Johnson County, TN",47091,77.20%,2843,,,,
"Hancock County, TN",47067,77.10%,2855,,,,
"Marion County, GA",13197,77.10%,2855,,,,
"Woodruff County, AR",5147,77.10%,2855,,,,
"Liberty County, TX",48291,77.10%,2855,,,,
"Robeson County, NC",37155,77.10%,2855,,,,
"Swisher County, TX",48437,77.10%,2855,,,,
"Sutton County, TX",48435,77.00%,2861,,,,
"Jeff Davis County, GA",13161,77.00%,2861,,,,
"West Carroll Parish, LA",22123,77.00%,2861,,,,
"Falls County, TX",48145,77.00%,2861,,,,
"Washington County, MO",29221,77.00%,2861,,,,
"Banks County, GA",13011,77.00%,2861,,,,
"Adair County, KY",21001,76.90%,2867,,,,
"Halifax County, NC",37083,76.90%,2867,,,,
"Lynn County, TX",48305,76.90%,2867,,,,
"Caldwell Parish, LA",22021,76.90%,2867,,,,
"El Paso County, TX",48141,76.90%,2867,,,,
"Gordon County, GA",13129,76.90%,2867,,,,
"Buckingham County, VA",51029,76.90%,2867,,,,
"Wheeler County, GA",13309,76.90%,2867,,,,
"Clay County, TN",47027,76.80%,2875,,,,
"Taylor County, GA",13269,76.80%,2875,,,,
"Reynolds County, MO",29179,76.80%,2875,,,,
"Socorro County, NM",35053,76.80%,2875,,,,
"Coosa County, AL",1037,76.80%,2875,,,,
"Stone County, AR",5137,76.80%,2875,,,,
"Polk County, GA",13233,76.70%,2881,,,,
"Lawrence County, KY",21127,76.70%,2881,,,,
"Crawford County, MO",29055,76.70%,2881,,,,
"Nottoway County, VA",51135,76.60%,2884,,,,
"Monroe County, KY",21171,76.60%,2884,,,,
"Mitchell County, GA",13205,76.60%,2884,,,,
"Greene County, AL",1063,76.60%,2884,,,,
"Power County, ID",16077,76.60%,2884,,,,
"Perry County, KY",21193,76.60%,2884,,,,
"Potter County, TX",48375,76.60%,2884,,,,
"Washington Parish, LA",22117,76.60%,2884,,,,
"Emporia Independent City, VA",51595,76.50%,2892,,,,
"Elliott County, KY",21063,76.50%,2892,,,,
"Galax Independent City, VA",51640,76.50%,2892,,,,
"Carroll County, KY",21041,76.50%,2892,,,,
"Turner County, GA",13287,76.50%,2892,,,,
"Chesterfield County, SC",45025,76.50%,2892,,,,
"St. Landry Parish, LA",22097,76.50%,2892,,,,
"Concordia Parish, LA",22029,76.40%,2899,,,,
"Dawson County, NE",31047,76.40%,2899,,,,
"Yazoo County, MS",28163,76.40%,2899,,,,
"Gray County, KS",20069,76.40%,2899,,,,
"Franklin County, AL",1059,76.40%,2899,,,,
"Nobles County, MN",27105,76.30%,2904,,,,
"Treutlen County, GA",13283,76.30%,2904,,,,
"Lunenburg County, VA",51111,76.30%,2904,,,,
"Evans County, GA",13109,76.30%,2904,,,,
"Tillman County, OK",40141,76.20%,2908,,,,
"Tensas Parish, LA",22107,76.20%,2908,,,,
"Holmes County, FL",12059,76.10%,2910,,,,
"Jasper County, GA",13159,76.10%,2910,,,,
"Lafourche Parish, LA",22057,76.10%,2910,,,,
"Bertie County, NC",37015,76.10%,2910,,,,
"Bolivar County, MS",28011,76.10%,2910,,,,
"Estill County, KY",21065,76.00%,2915,,,,
"Pontotoc County, MS",28115,76.00%,2915,,,,
"Bath County, KY",21011,76.00%,2915,,,,
"Lowndes County, AL",1085,76.00%,2915,,,,
"Claiborne County, MS",28021,76.00%,2915,,,,
"Russell County, KY",21207,76.00%,2915,,,,
"Greene County, MS",28041,75.90%,2921,,,,
"Union County, FL",12125,75.90%,2921,,,,
"St. Helena Parish, LA",22091,75.90%,2921,,,,
"Hemphill County, TX",48211,75.90%,2921,,,,
"New Madrid County, MO",29143,75.90%,2921,,,,
"Jerome County, ID",16053,75.90%,2921,,,,
"Vermilion Parish, LA",22113,75.80%,2927,,,,
"Atascosa County, TX",48013,75.80%,2927,,,,
"Phillips County, AR",5107,75.80%,2927,,,,
"Cleburne County, AL",1029,75.80%,2927,,,,
"Terrell County, GA",13273,75.80%,2927,,,,
"Jefferson Davis County, MS",28065,75.70%,2932,,,,
"Green County, KY",21087,75.70%,2932,,,,
"Candler County, GA",13043,75.70%,2932,,,,
"Pike County, KY",21195,75.60%,2935,,,,
"Oglala Lakota, SD",46102,75.60%,2935,,,,
"Ochiltree County, TX",48357,75.60%,2935,,,,
"Johnson County, GA",13167,75.60%,2935,,,,
"Karnes County, TX",48255,75.60%,2935,,,,
"Wise County, VA",51195,75.60%,2935,,,,
"Shelby County, TX",48419,75.50%,2941,,,,
"Hamilton County, FL",12047,75.40%,2942,,,,
"Hale County, TX",48189,75.40%,2942,,,,
"Mitchell County, TX",48335,75.40%,2942,,,,
"Crockett County, TX",48105,75.40%,2942,,,,
"Cottle County, TX",48101,75.40%,2942,,,,
"Santa Cruz County, AZ",4023,75.40%,2942,,,,
"La Salle Parish, LA",22059,75.40%,2942,,,,
"Wayne County, MO",29223,75.40%,2942,,,,
"Calhoun County, MS",28013,75.40%,2942,,,,
"Grant County, WA",53025,75.30%,2951,,,,
"Morrow County, OR",41049,75.30%,2951,,,,
"Sharkey County, MS",28125,75.30%,2951,,,,
"Holmes County, MS",28051,75.30%,2951,,,,
"Campbell County, TN",47013,75.30%,2951,,,,
"Greensville County, VA",51081,75.30%,2951,,,,
"Calhoun County, WV",54013,75.30%,2951,,,,
"Madison Parish, LA",22065,75.30%,2951,,,,
"Greene County, NC",37079,75.20%,2959,,,,
"Lauderdale County, TN",47097,75.20%,2959,,,,
"Franklin Parish, LA",22041,75.20%,2959,,,,
"Wheatland County, MT",30107,75.10%,2962,,,,
"Hall County, TX",48191,75.10%,2962,,,,
"Appling County, GA",13001,75.10%,2962,,,,
"Wayne County, MS",28153,75.10%,2962,,,,
"Owyhee County, ID",16073,75.10%,2962,,,,
"Warren County, GA",13301,75.10%,2962,,,,
"Crosby County, TX",48107,75.00%,2968,,,,
"Letcher County, KY",21133,75.00%,2968,,,,
"Ector County, TX",48135,75.00%,2968,,,,
"Edwards County, TX",48137,75.00%,2968,,,,
"Floyd County, KY",21071,74.90%,2972,,,,
"Glasscock County, TX",48173,74.90%,2972,,,,
"Hart County, KY",21099,74.90%,2972,,,,
"Morgan County, KY",21175,74.80%,2975,,,,
"McKinley County, NM",35031,74.80%,2975,,,,
"Robertson County, KY",21201,74.70%,2977,,,,
"Liberty County, MT",30051,74.70%,2977,,,,
"Fresno County, CA",6019,74.70%,2977,,,,
"Lee County, VA",51105,74.60%,2980,,,,
"Andrews County, TX",48003,74.60%,2980,,,,
"Dickenson County, VA",51051,74.50%,2982,,,,
"Chickasaw County, MS",28017,74.50%,2982,,,,
"Clay County, WV",54015,74.50%,2982,,,,
"Jefferson County, GA",13163,74.50%,2982,,,,
"Tyrrell County, NC",37177,74.40%,2986,,,,
"Pemiscot County, MO",29155,74.40%,2986,,,,
"Mingo County, WV",54059,74.40%,2986,,,,
"Tattnall County, GA",13267,74.40%,2986,,,,
"Casey County, KY",21045,74.30%,2990,,,,
"Kinney County, TX",48271,74.30%,2990,,,,
"Mississippi County, MO",29133,74.30%,2990,,,,
"Perry County, TN",47135,74.30%,2990,,,,
"Jackson County, KY",21109,74.30%,2990,,,,
"Calhoun County, GA",13037,74.30%,2990,,,,
"Schleicher County, TX",48413,74.30%,2990,,,,
"Dunklin County, MO",29069,74.30%,2990,,,,
"Franklin County, WA",53021,74.20%,2998,,,,
"Jefferson County, MS",28063,74.20%,2998,,,,
"Allendale County, SC",45005,74.20%,2998,,,,
"Marlboro County, SC",45069,74.20%,2998,,,,
"Scott County, MS",28123,74.20%,2998,,,,
"Daviess County, IN",18027,74.10%,3003,,,,
"Lewis County, KY",21135,74.00%,3004,,,,
"Crane County, TX",48103,74.00%,3004,,,,
"Titus County, TX",48449,74.00%,3004,,,,
"Evangeline Parish, LA",22039,74.00%,3004,,,,
"Okeechobee County, FL",12093,73.90%,3008,,,,
"Avoyelles Parish, LA",22009,73.90%,3008,,,,
"Pickett County, TN",47137,73.90%,3008,,,,
"Lafayette County, FL",12067,73.90%,3008,,,,
"Floyd County, TX",48153,73.90%,3008,,,,
"Kern County, CA",6029,73.80%,3013,,,,
"Randolph County, GA",13243,73.70%,3014,,,,
"Lamb County, TX",48279,73.70%,3014,,,,
"Glades County, FL",12043,73.70%,3014,,,,
"DeKalb County, AL",1049,73.60%,3017,,,,
"Assumption Parish, LA",22007,73.60%,3017,,,,
"Clinch County, GA",13065,73.60%,3017,,,,
"San Saba County, TX",48411,73.60%,3017,,,,
"Lake County, TN",47095,73.50%,3021,,,,
"Dakota County, NE",31043,73.50%,3021,,,,
"Knott County, KY",21119,73.40%,3023,,,,
"Dillon County, SC",45033,73.40%,3023,,,,
"McCreary County, KY",21147,73.40%,3023,,,,
"Duplin County, NC",37061,73.30%,3026,,,,
"Clay County, AL",1027,73.30%,3026,,,,
"Sussex County, VA",51183,73.30%,3026,,,,
"Grundy County, TN",47061,73.20%,3029,,,,
"Gonzales County, TX",48177,73.20%,3029,,,,
"Bledsoe County, TN",47007,73.20%,3029,,,,
"Sherman County, TX",48421,73.20%,3029,,,,
"Yakima County, WA",53077,73.20%,3029,,,,
"Benton County, MS",28009,73.10%,3034,,,,
"Barbour County, AL",1005,73.10%,3034,,,,
"Colquitt County, GA",13071,73.10%,3034,,,,
"Dooly County, GA",13093,73.00%,3037,,,,
"Deaf Smith County, TX",48117,73.00%,3037,,,,
"Chattooga County, GA",13055,73.00%,3037,,,,
"Wayne County, KY",21231,73.00%,3037,,,,
"Jim Wells County, TX",48249,73.00%,3037,,,,
"Kings County, CA",6031,72.90%,3042,,,,
"Lea County, NM",35025,72.90%,3042,,,,
"Breathitt County, KY",21025,72.80%,3044,,,,
"Macon County, GA",13193,72.80%,3044,,,,
"Grant County, KS",20067,72.80%,3044,,,,
"Bee County, TX",48025,72.70%,3047,,,,
"Martin County, KY",21159,72.60%,3048,,,,
"Dawson County, TX",48115,72.60%,3048,,,,
"Glenn County, CA",6021,72.50%,3050,,,,
"Castro County, TX",48069,72.30%,3051,,,,
"Sunflower County, MS",28133,72.20%,3052,,,,
"Hardee County, FL",12049,72.00%,3053,,,,
"Sevier County, AR",5133,71.80%,3054,,,,
"Clinton County, KY",21053,71.70%,3055,,,,
"Yuma County, AZ",4027,71.60%,3056,,,,
"Madera County, CA",6039,71.60%,3056,,,,
"Jim Hogg County, TX",48247,71.60%,3056,,,,
"Buchanan County, VA",51027,71.60%,3056,,,,
"Bronx County, NY",36005,71.50%,3060,,,,
"Harlan County, KY",21095,71.40%,3061,,,,
"Bullock County, AL",1011,71.40%,3061,,,,
"Finney County, KS",20055,71.30%,3063,,,,
"Parmer County, TX",48369,71.30%,3063,,,,
"Colfax County, NE",31037,71.20%,3065,,,,
"Monterey County, CA",6053,71.20%,3065,,,,
"Uvalde County, TX",48463,71.20%,3065,,,,
"Texas County, OK",40139,71.20%,3065,,,,
"Hansford County, TX",48195,70.90%,3069,,,,
"Tallahatchie County, MS",28135,70.90%,3069,,,,
"Ford County, KS",20057,70.80%,3071,,,,
"Clark County, ID",16033,70.70%,3072,,,,
"Magoffin County, KY",21153,70.60%,3073,,,,
"East Carroll Parish, LA",22035,70.50%,3074,,,,
"DeSoto County, FL",12027,70.50%,3074,,,,
"Reagan County, TX",48383,70.40%,3076,,,,
"Telfair County, GA",13271,70.40%,3076,,,,
"Lee County, KY",21129,70.30%,3078,,,,
"Bailey County, TX",48017,70.30%,3078,,,,
"Quitman County, GA",13239,70.30%,3078,,,,
"Yoakum County, TX",48501,70.20%,3081,,,,
"Owsley County, KY",21189,70.10%,3082,,,,
"Lee County, AR",5077,70.00%,3083,,,,
"Atkinson County, GA",13003,69.90%,3084,,,,
"Wilkinson County, MS",28157,69.80%,3085,,,,
"Hancock County, GA",13141,69.80%,3085,,,,
"Winkler County, TX",48495,69.60%,3087,,,,
"Pecos County, TX",48371,69.60%,3087,,,,
"Haskell County, TX",48207,69.60%,3087,,,,
"Colusa County, CA",6011,69.40%,3090,,,,
"Haskell County, KS",20081,69.40%,3090,,,,
"Wolfe County, KY",21237,69.30%,3092,,,,
"Echols County, GA",13101,69.30%,3092,,,,
"Quitman County, MS",28119,69.20%,3094,,,,
"Taliaferro County, GA",13265,69.10%,3095,,,,
"Terry County, TX",48445,69.00%,3096,,,,
"Merced County, CA",6047,68.90%,3097,,,,
"Whitfield County, GA",13313,68.90%,3097,,,,
"Tulare County, CA",6107,68.60%,3099,,,,
"Twiggs County, GA",13289,68.60%,3099,,,,
"Imperial County, CA",6025,68.40%,3101,,,,
"La Salle County, TX",48283,68.30%,3102,,,,
"Humphreys County, MS",28053,68.30%,3102,,,,
"Noxubee County, MS",28103,68.20%,3104,,,,
"Dallam County, TX",48111,68.20%,3104,,,,
"Leslie County, KY",21131,68.20%,3104,,,,
"Brooks County, TX",48047,68.10%,3107,,,,
"Knox County, KY",21121,68.00%,3108,,,,
"Duval County, TX",48131,67.70%,3109,,,,
"Murray County, GA",13213,67.60%,3110,,,,
"Val Verde County, TX",48465,67.40%,3111,,,,
"Bell County, KY",21013,67.20%,3112,,,,
"Seward County, KS",20175,67.20%,3112,,,,
"Luna County, NM",35029,67.10%,3114,,,,
"Webb County, TX",48479,66.70%,3115,,,,
"Cochran County, TX",48079,66.40%,3116,,,,
"Cameron County, TX",48061,66.20%,3117,,,,
"Stewart County, GA",13259,65.70%,3118,,,,
"Issaquena County, MS",28055,65.60%,3119,,,,
"Willacy County, TX",48489,65.40%,3120,,,,
"Moore County, TX",48341,65.40%,3120,,,,
"McDowell County, WV",54047,65.30%,3122,,,,
"Adams County, WA",53001,65.20%,3123,,,,
"Hendry County, FL",12051,65.10%,3124,,,,
"Frio County, TX",48163,65.00%,3125,,,,
"Dimmit County, TX",48127,64.30%,3126,,,,
"Hidalgo County, TX",48215,63.70%,3127,,,,
"Culberson County, TX",48109,63.40%,3128,,,,
"LaGrange County, IN",18087,63.30%,3129,,,,
"Clay County, KY",21051,63.00%,3130,,,,
"Reeves County, TX",48389,62.30%,3131,,,,
"Gaines County, TX",48165,61.70%,3132,,,,
"Concho County, TX",48095,61.00%,3133,,,,
"Zavala County, TX",48507,60.30%,3134,,,,
"Maverick County, TX",48323,59.20%,3135,,,,
"Holmes County, OH",39075,58.20%,3136,,,,
"Garza County, TX",48169,58.00%,3137,,,,
"Zapata County, TX",48505,55.40%,3138,,,,
"Presidio County, TX",48377,52.50%,3139,,,,
"Hudspeth County, TX",48229,51.00%,3140,,,,
"Starr County, TX",48427,48.80%,3141,,,,
"Kenedy County, TX",48261,41.30%,3142,,,,
